name,review,image
Geweo Wandelschoenen Unisex - Outdoor Antislip - Waterdicht en Ademend - Extra Comfort,"Geschreven bij Geweo Wandelschoenen Dames Waterdicht - Outdoorschoenen Heren Waterproof- Outdoor Antislip Outdoorschoenen Unisex - Extra Comfort - Grijs - Maat 39
De manier van afleveren slaat nergens op. Schoenen in een plastic zak zonder afleveringsbewijs  . Verpakking en aflevering  mag zeker beter.",https://media.s-bol.com/mXjlyRo3KJ2n/x2Kjyl/550x544.jpg
Geweo Wandelschoenen Unisex - Outdoor Antislip - Waterdicht en Ademend - Extra Comfort,"Geschreven bij Geweo Wandelschoenen Dames Waterdicht - Outdoorschoenen Heren Waterproof- Outdoor Antislip Outdoorschoenen Unisex - Zwart - Maat 42
goed！！",https://media.s-bol.com/mXjlyRo3KJ2n/x2Kjyl/550x544.jpg
Geweo Wandelschoenen Unisex - Outdoor Antislip - Waterdicht en Ademend - Extra Comfort,"Geschreven bij Geweo Wandelschoenen Dames Waterdicht - Outdoorschoenen Heren Waterproof- Outdoor Antislip Outdoorschoenen Unisex - Extra Comfort - Zwart - Maat 45
Super goede service en bezorging!",https://media.s-bol.com/mXjlyRo3KJ2n/x2Kjyl/550x544.jpg
Grisport Torino Mid Wandelschoenen Unisex,"Geschreven bij Grisport Torino Mid Wandelschoenen Unisex - Black - Maat 43
Deze schoenen zijn erg slecht. Het eerste paar dat ik bestelde had na +/- 4 (ongeveer 450 kilometer lopen) weken de beide zolen van links naar rechts volledig doorgescheurd. Ik kreeg van Bol (super service!) een nieuw paar toegestuurd en dat is na ongeveer de zelfde tijd en afstand in dezelfde staat. Ik krijg nu mijn geld van Bol terug, maar ik zal dit merk 'schoenen' nooit meer kopen. Wees gewaarschuwd, deze schoenen gaan maximaal 500 kilometer mee!!!",https://media.s-bol.com/mlo2wplYMxA/550x364.jpg
Grisport Torino Mid Wandelschoenen Unisex,"Geschreven bij Grisport Torino Mid Wandelschoenen Unisex - Black - Maat 38
In juni besteld, helaas valt de zool uit nu al volledig uit elkaar. Erg teleurstellend.. de lage variant beviel mij beter, helaas niet meer te verkrijgen",https://media.s-bol.com/mlo2wplYMxA/550x364.jpg
Grisport Torino Mid Wandelschoenen Unisex,"Geschreven bij Grisport Torino Mid Wandelschoenen Unisex - Grey - Maat 40
Ik heb deze schoenen nu 5 x gedragen tijdens wandelingen met de hond. Ik heb ze behandeld met waterafstotende spray , dit helpt voor de bovenkant maar mijn wandelsokken  zijn nat aan de onderkant en dit is niet vanwege zweetvoeten!Altijd de duurdere variant grisport gehad deze waren prima helaas zeer teleurgesteld",https://media.s-bol.com/mlo2wplYMxA/550x364.jpg
Grisport Torino Mid Wandelschoenen Unisex,"Geschreven bij Grisport Torino Mid Wandelschoenen Unisex - Dark Blue - Maat 41
na mijn afgedankte wandelschoenen heb ik via bol een goede en lichte wandelschoen gevonden, je loopt er zo mee weg ze zijn niet zwaar en ook niet duur, het materiaal is waterafstotend en de zool is stevig",https://media.s-bol.com/mlo2wplYMxA/550x364.jpg
Grisport Torino Mid Wandelschoenen Unisex,"Geschreven bij Grisport Torino Mid Wandelschoenen Unisex - Black - Maat 39
Ze gaan niet lang mee. Maar ik moet er bij zeggen dat ik gemiddeld 300 km per maand loop. Na 3 a 4 maanden zijn ze aan vervanging toe. Ze lopen meteen heel erg lekker daarom bestel ik ze steeds weer opnieuw",https://media.s-bol.com/mlo2wplYMxA/550x364.jpg
Grisport Torino Mid Wandelschoenen Unisex,"Geschreven bij Grisport Torino Mid Wandelschoenen Unisex - Azure - Maat 38
Gekocht in september 2019Nu de zool stuk vandaag gebeld krijg weer nieuwe oude weer op sturen",https://media.s-bol.com/mlo2wplYMxA/550x364.jpg
Skechers ARCH-FIT DISCOVER-ELEVATION G dames sneakers,"Geschreven bij Skechers Arch Fit Discover Elevation G Dames Laarzen - Zwart/Blauw - Maat 38
Fijne lichte wandelschoenen met prima pasvorm",https://media.s-bol.com/r5X2PDx1mBXw/GmyQOy/550x444.jpg
Skechers Oak Canyon wandelschoenen,Heb ze net een maand en nu is de stof van binnen al kapot waardoor ik steeds blaar creer op mijn kleine teen,https://media.s-bol.com/pkWVqKkMoQ6V/550x371.jpg
Skechers Oak Canyon wandelschoenen,"dit is een spel wat je met het hele gezin kan doen, we hebben er veel om gelachen.en is een gezellig spel",https://media.s-bol.com/pkWVqKkMoQ6V/550x371.jpg
Skechers Oak Canyon wandelschoenen,"Fijne soepele schoen met toch wat extra steun...geen zere voeten na een lange wandeling, zeker goed voor het geld.",https://media.s-bol.com/pkWVqKkMoQ6V/550x371.jpg
Skechers Oak Canyon wandelschoenen,"Geschreven bij Skechers Oak Canyon wandelschoenen grijs - Maat 44
Prima pasvorm, lopen lekker",https://media.s-bol.com/pkWVqKkMoQ6V/550x371.jpg
Skechers Oak Canyon wandelschoenen,"Geschreven bij Skechers Oak Canyon wandelschoenen grijs - Maat 42
Stijlvol en toch modern. Lekker voetbed. Heb zelf maat 42 en gekocht in maat 43, vind ze wel aan de krappe kant vallen",https://media.s-bol.com/pkWVqKkMoQ6V/550x371.jpg
Skechers Oak Canyon wandelschoenen,"Geschreven bij Skechers Oak Canyon wandelschoenen grijs - Maat 44
Schoenen lopen lekker, maar het woordje 'waterafstotend' is een lachertje. Dus voor mooi weer zijn ze prima.De reden dat mijn man deze koos was juist omdat ze waterafstotend zouden zijn. Maar je kan er niet eens mee door vochtig gras lopen. Na mail contract met Scapino kwamen we niet verder.",https://media.s-bol.com/pkWVqKkMoQ6V/550x371.jpg
Columbia TRAILSTORM Wandelschoenen Dames,"Geschreven bij Columbia TRAILSTORM WATERPROOF Wandelschoenen Dames - Graphite, Dolph - Maat 37
Fijne wandelschoen, let op bij tenen wel vrij smal",https://media.s-bol.com/RXGpo1xKRAnw/0PB3N5/550x346.jpg
Grisport Sherpa Wandelschoenen Unisex,"Geschreven bij Grisport Sherpa Wandelschoenen Unisex - Brown - Maat 38
Goeie stevige wandelschoen. Met ondersteuning waar het hoort. Eerste keer erop lopen is even wennen maar de schoen gaat daarna naar je voeten zitten",https://media.s-bol.com/7zOYYO7xvR8y/6Qo69l/550x509.jpg
Grisport Sherpa Wandelschoenen Unisex,"Geschreven bij Grisport Sherpa Wandelschoenen Unisex - Black - Maat 38
Best raar, op reviews afgaan bij Bol voor wandelschoenen?  Achja, het ik lockdown, dus beholpen allemaal, wie niet waagt ... etc. Maar wauw, wat zitten ze lekker! Ik heb ze dagelijks naar m'n werk aan,(staand, wandelend beroep, 0 blaren gehad) Ik ben een vrouw, maat 38 en ondanks dat het 'echte mannenkleding' is, zitten ze als gegoten. Daarnet blokkie om in de sneeuw, je glijdt niet uit, stevige grip, fijne zool, goede steun, kortom, echt een aanwinst!",https://media.s-bol.com/7zOYYO7xvR8y/6Qo69l/550x509.jpg
Grisport Sherpa Wandelschoenen Unisex,"Geschreven bij Grisport Sherpa Wandelschoenen Unisex - Black - Maat 41
Ik wandel al 4 jaren op de Grisport Sherpa en ik vind het de fijnste wandelschoen ever. Ik loop gemiddeld per tocht 20 tot 30 km per dag en dan vaak ook nog meerdere dagen achter elkaar met overnachtingen. Ik heb een nieuw paar aangeschaft nadat mijn eerste paar na 4 jaren was versleten. De Grisport Sherpa is een lompe, maar zeer goede en degelijke wandelschoen die zeer lang mee gaat. Ook loop ik er nooit geen blaren in.",https://media.s-bol.com/7zOYYO7xvR8y/6Qo69l/550x509.jpg
Grisport Sherpa Wandelschoenen Unisex,"Geschreven bij Grisport Sherpa Wandelschoenen Unisex - Brown - Maat 43
zeer goede schoenenik ben namelijk aan mijn heup geoperreed.en ze vonden de schoenen heel goed voor mijn voeten .heelgoed zelfs.ik zou zeggen voor om te wandelen,en heel goed voorje voeten 'kies voor deze schoenen.",https://media.s-bol.com/7zOYYO7xvR8y/6Qo69l/550x509.jpg
Grisport Sherpa Wandelschoenen Unisex,"Geschreven bij Grisport Sherpa Wandelschoenen Unisex - Brown - Maat 44
Ik heb deze wandelschoenen aangeschaft omdat ik zeer goede ervaring heb met de werkschoenen van Grisport. Ik heb ze nu een tijdje maar ik vind ze niet lekker lopen. Alleen op bospaden zijn ze wel oke. Maar als ik van het station naar mijn werk loop, vind ik ze te stug. Ook zijn ze niet voldoende antislip. Op put deksels en in het station glij ik weg met de schoen. Ik had ze beter verwacht als ik kijk naar de beoordelingen.",https://media.s-bol.com/7zOYYO7xvR8y/6Qo69l/550x509.jpg
Grisport Sherpa Wandelschoenen Unisex,"Dit zijn toffe wandelschoenen. Ik wandel in bossen, langs de kust of door het buitengebied van ons dorp. Heb nog geen ervaring met extreme regen of diepe plassen. Wel oppassen op gladde stoepen of wegen, dan hebben ze weinig grip.",https://media.s-bol.com/7zOYYO7xvR8y/6Qo69l/550x509.jpg
Jack Wolfskin Vojo 3 Texapore Low Wandelschoenen Dames,"Geschreven bij Jack Wolfskin VOJO 3 TEXAPORE LOW W - tarmac grey / light blue - Vrouwen - Maat 42
Maat 42 komt niet in de buurt van een maat 42, voor een maat 41 zit die al niet ruim",https://media.s-bol.com/qZ3WYx0nEJwD/550x374.jpg
